名称,代码
怡球资源,601388
信测标准,300938
亨通股份,600226
福斯达,603173
宁波华翔,002048
东微半导,688261
科翔股份,300903
隆平高科,000998
芯瑞达,002983
汇源通信,000586
铭科精技,001319
格林达,603931
润都股份,002923
涪陵电力,600452
珂玛科技,301611
宁波富邦,600768
信质集团,002664
常山药业,300255
云煤能源,600792
国恩股份,002768
新风光,688663
长盈通,688143
长芯博创,300548
特发信息,000070
奥尼电子,301189
金逸影视,002905
三孚新科,688359
亿纬锂能,300014
键邦股份,603285
傲农生物,603363
朗科科技,300042
飞荣达,300602
伟创电气,688698
嘉曼服饰,301276
百川畅银,300614
禾盛新材,002290
福晶科技,002222
天顺风能,002531
华瑞股份,300626
读客文化,301025
黑牡丹,600510
国网信通,600131
聚杰微纤,300819
大悦城,000031
中捷资源,002021
恩捷股份,002812
亚通股份,600692
航天发展,000547
浙江东日,600113
帝尔激光,300776
百龙创园,605016
博汇纸业,600966
世纪华通,002602
一彬科技,001278
北京君正,300223
花园生物,300401
苏美达,600710
海兰信,300065
赛象科技,002337
博盈特焊,301468
哈尔斯,002615
晶华新材,603683
农心科技,001231
龙磁科技,300835
翰博高新,301321
兴福电子,688545
博纳影业,001330
世纪恒通,301428
深圳华强,000062
澄天伟业,300689
阿莱德,301419
青龙管业,002457
艾比森,300389
丽臣实业,001218
深科技,000021
优迅股份,688807
恒大高新,002591
宏川智慧,002930
诺思格,301333
江苏神通,002438
沧州大化,600230
苑东生物,688513
双象股份,002395
潍柴重机,000880
星球石墨,688633
无线传媒,301551
歌力思,603808
亚翔集成,603929
荃银高科,300087
三峡旅游,002627
九州一轨,688485
云天励飞-U,688343
众兴菌业,002772
恒申新材,000782
英方软件,688435
华光新材,688379
同有科技,300302
青岛金王,002094
华脉科技,603042
宏昌电子,603002
弘宇股份,002890
有棵树,300209
朗进科技,300594
盘龙药业,002864
广联航空,300900
好想你,002582
传艺科技,002866
升达林业,002259
先达股份,603086
星辉娱乐,300043
长阳科技,688299
健盛集团,603558
博汇股份,300839
红四方,603395
威马农机,301533
黄山旅游,600054
巨力索具,002342
怡 亚 通,002183
国投丰乐,000713
丛麟科技,688370
威星智能,002849
罗 牛 山,000735
新农开发,600359
晓鸣股份,300967
厦门空港,600897
粤 传 媒,002181
信息发展,300469
安孚科技,603031
绿岛风,301043
思泉新材,301489
中泰化学,002092
创耀科技,688259
大北农,002385
华通线缆,605196
众辰科技,603275
通灵股份,301168
协创数据,300857
正丹股份,300641
苏州规划,301505
东南网架,002135
开创国际,600097
芯朋微,688508
杰恩设计,300668
梦天家居,603216
汇通集团,603176
锐捷网络,301165
宏工科技,301662
上峰水泥,000672
安培龙,301413
汇绿生态,001267
北大荒,600598
可川科技,603052
建业股份,603948
新天科技,300259
浙江荣泰,603119
邦基科技,603151
新兴铸管,000778
艾隆科技,688329
天亿马,301178
凤竹纺织,600493
阿拉丁,688179
开创电气,301448
兰生股份,600826
万润科技,002654
新大洲A,000571
爱司凯,300521
吉峰科技,300022
美腾科技,688420
雅艺科技,301113
桐昆股份,601233
容知日新,688768
永安林业,000663
利柏特,605167
惠天热电,000692
富乐德,301297
江瀚新材,603281
敏芯股份,688286
西部创业,000557
天安新材,603725
三孚股份,603938
宝丽迪,300905
天承科技,688603
九华旅游,603199
好太太,603848
时空科技,605178
广信材料,300537
回盛生物,300871
钱江生化,600796
光云科技,688365
莱尔科技,688683
光迅科技,002281
亿华通-U,688339
蓝丰生化,002513
浙文影业,601599
优优绿能,301590
苏州天脉,301626
茶花股份,603615
豪尔赛,002963
金安国纪,002636
美利云,000815
肇民科技,301000
利安科技,300784
国光股份,002749
晶雪节能,301010
陕西黑猫,601015
鸿富瀚,301086
一拖股份,601038
中国电影,600977
全志科技,300458
峰岹科技,688279
鼎际得,603255
博闻科技,600883
国联水产,300094
德展健康,000813
天益医疗,301097
迅捷兴,688655
蕾奥规划,300989
大胜达,603687
瀚蓝环境,600323
首开股份,600376
明微电子,688699
中科通达,688038
深圳瑞捷,300977
天域生物,603717
名臣健康,002919
冠盛股份,605088
大丰实业,603081
华斯股份,002494
中信特钢,000708
富邦科技,300387
康隆达,603665
龙元建设,600491
新光光电,688011
亿田智能,300911
克来机电,603960
中兰环保,300854
阳光电源,300274
广信股份,603599
至正股份,603991
联合精密,001268
中瓷电子,003031
矽电股份,301629
值得买,300785
陕鼓动力,601369
读者传媒,603999
蓝宇股份,301585
骏成科技,301106
豪恩汽电,301488
巴比食品,605338
万朗磁塑,603150
凯旺科技,301182
中晶科技,003026
鼎泰高科,301377
天目药业,600671
松原安全,300893
商络电子,300975
中国外运,601598
海正生材,688203
桂林旅游,000978
大烨智能,300670
西大门,605155
腾亚精工,301125
剑桥科技,603083
芯碁微装,688630
快克智能,603203
美力科技,300611
博杰股份,002975
乔治白,002687
仁度生物,688193
东方盛虹,000301
惠而浦,600983
旗天科技,300061
华骐环保,300929
赛微电子,300456
智光电气,002169
新农股份,002942
奕东电子,301123
好当家,600467
思林杰,688115
招商轮船,601872
乐山电力,600644
未来电器,301386
伟隆股份,002871
久日新材,688199
新亚电子,605277
养元饮品,603156
聚合顺,605166
欧普照明,603515
大洋生物,003017
上海亚虹,603159
联翔股份,603272
鹏辉能源,300438
明阳电路,300739
金春股份,300877
中持股份,603903
协和电子,605258
华旺科技,605377
世茂能源,605028
美瑞新材,300848
意华股份,002897
东山精密,002384
华工科技,000988
天鹅股份,603029
金马游乐,300756
深科达,688328
华英农业,002321
多浦乐,301528
振德医疗,603301
上海三毛,600689
永泰运,001228
乐通股份,002319
奇精机械,603677
派瑞股份,300831
思泰克,301568
达威股份,300535
东杰智能,300486
瑞晟智能,688215
申菱环境,301018
新通联,603022
聚胶股份,301283
保立佳,301037
兆讯传媒,301102
绿田机械,605259
美邦股份,605033
恒辉安防,300952
开普检测,003008
日联科技,688531
永新股份,002014
路德科技,688156
康强电子,002119
宋城演艺,300144
京粮控股,000505
美埃科技,688376
采纳股份,301122
唯赛勃,688718
松霖科技,603992
联合光电,300691
襄阳轴承,000678
森泰股份,301429
胜宏科技,300476
巨一科技,688162
喜悦智行,301198
长海股份,300196
浙江仙通,603239
天山电子,301379
风神股份,600469
惠通科技,301601
凯恩股份,002012
航锦科技,000818
普路通,002769
鼎信通讯,603421
力诺药包,301188
海利尔,603639
青岛双星,000599
天际股份,002759
爱威科技,688067
华业香料,300886
三 力 士,002224
东软载波,300183
德才股份,605287
久量股份,300808
通化东宝,600867
科净源,301372
新黄浦,600638
英诺激光,301021
江顺科技,001400
星宸科技,301536
隆扬电子,301389
联瑞新材,688300
陇神戎发,300534
中设股份,002883
江苏索普,600746
天目湖,603136
瑞晨环保,301273
力合科技,300800
富佳股份,603219
奥福科技,688021
英科医疗,300677
蓝特光学,688127
南华仪器,300417
青岛银行,002948
天禾股份,002999
元创股份,001325
S佳通,600182
聚赛龙,301131
臻镭科技,688270
安泰集团,600408
中贝通信,603220
国科微,300672
拉普拉斯,688726
华凯易佰,300592
晶方科技,603005
建新股份,300107
双枪科技,001211
恒源煤电,600971
科瑞思,301314
福莱新材,605488
美农生物,301156
理工导航,688282
华天科技,002185
中亚股份,300512
汇中股份,300371
中荣股份,301223
善水科技,301190
万隆光电,300710
威腾电气,688226
富创精密,688409
长江材料,001296
瑜欣电子,301107
裕同科技,002831
顺威股份,002676
通达动力,002576
南都物业,603506
海川智能,300720
星环科技-U,688031
节能国祯,300388
汇成股份,688403
鸿特科技,300176
楚环科技,001336
晨化股份,300610
易天股份,300812
先导智能,300450
农 产 品,000061
三元生物,301206
宝明科技,002992
兆龙互连,300913
誉辰智能,688638
史丹利,002588
亚星化学,600319
双元科技,688623
金禾实业,002597
瑞丰新材,300910
友阿股份,002277
兆易创新,603986
锡南科技,301170
盛帮股份,301233
天元股份,003003
东来技术,688129
獐子岛,002069
宁德时代,300750
澳柯玛,600336
研奥股份,300923
华资实业,600191
海象新材,003011
天润工业,002283
海融科技,300915
丰山集团,603810
莱伯泰科,688056
如意集团,002193
溯联股份,301397
苏垦农发,601952
亚邦股份,603188
明志科技,688355
瑞联新材,688550
菲利华,300395
华尔泰,001217
智微智能,001339
恒兴新材,603276
正裕工业,603089
兴业股份,603928
慧翰股份,301600
裕太微-U,688515
锐奇股份,300126
儒竞科技,301525
迈拓股份,301006
华阳智能,301502
华信新材,300717
喜临门,603008
先进数通,300541
光华股份,001333
润泽科技,300442
中富电路,300814
博力威,688345
德林海,688069
灿瑞科技,688061
深华发Ａ,000020
富满微,300671
华强科技,688151
索宝蛋白,603231
标准股份,600302
英特科技,301399
江苏博云,301003
国脉文化,600640
泰慕士,001234
同兴科技,003027
宜宾纸业,600793
中粮科工,301058
江西长运,600561
棒杰股份,002634
华塑科技,301157
京仪装备,688652
康芝药业,300086
和林微纳,688661
鹏翎股份,300375
深南电A,000037
洪汇新材,002802
潍柴动力,000338
信宇人,688573
飞力达,300240
时代万恒,600241
长白山,603099
道道全,002852
百傲化学,603360
颀中科技,688352
北京科锐,002350
建研院,603183
川环科技,300547
民丰特纸,600235
风光股份,301100
雪榕生物,300511
科瑞技术,002957
广康生化,300804
浙江黎明,603048
菲达环保,600526
迎丰股份,605055
恒而达,300946
万润新能,688275
万祥科技,301180
德冠新材,001378
申科股份,002633
菜百股份,605599
林海股份,600099
朗威股份,301202
南网能源,003035
广农糖业,000911
康盛股份,002418
万里股份,600847
东南电子,301359
津膜科技,300334
茂化实华,000637
英华特,301272
正帆科技,688596
三态股份,301558
秋田微,300939
南大环境,300864
澳弘电子,605058
美思德,603041
飞鹿股份,300665
锴威特,688693
五洲特纸,605007
中捷精工,301072
景业智能,688290
长联科技,301618
安邦护卫,603373
上海电影,601595
方邦股份,688020
福然德,605050
呈和科技,688625
国茂股份,603915
佳力图,603912
日上集团,002593
恒帅股份,300969
海泰科,301022
嘉华股份,603182
苏常柴Ａ,000570
经纬股份,301390
华阳国际,002949
吉大通信,300597
集泰股份,002909
三雄极光,300625
大禹节水,300021
共进股份,603118
福建金森,002679
联泰环保,603797
三维化学,002469
数据港,603881
光大同创,301387
优彩资源,002998
新巨丰,301296
神农集团,605296
满坤科技,301132
和顺电气,300141
美芯晟,688458
建工修复,300958
康力源,301287
密封科技,301020
联科科技,001207
神马股份,600810
高铁电气,688285
达 意 隆,002209
浙江华业,301616
宁水集团,603700
德力股份,002571
皇马科技,603181
佩蒂股份,300673
中粮糖业,600737
西部材料,002149
启迪设计,300500
东星医疗,301290
欣天科技,300615
三房巷,600370
博通股份,600455
惠达卫浴,603385
瑞丰光电,300241
春雪食品,605567
哈空调,600202
川恒股份,002895
兰剑智能,688557
瑞丰高材,300243
源飞宠物,001222
祥源新材,300980
金冠电气,688517
上能电气,300827
联合水务,603291
金溢科技,002869
神马电力,603530
和达科技,688296
山子高科,000981
万润股份,002643
舜禹股份,301519
联动科技,301369
华丰股份,605100
科威尔,688551
永和智控,002795
浙农股份,002758
众智科技,301361
君逸数码,301172
衢州东峰,601515
罗莱生活,002293
赛腾股份,603283
中洲控股,000042
元琛科技,688659
南卫股份,603880
大西洋,600558
金房能源,001210
亚光股份,603282
惠威科技,002888
同德化工,002360
爱丽家居,603221
金麒麟,603586
东威科技,688700
浩洋股份,300833
深粮控股,000019
亚威股份,002559
优德精密,300549
海 利 得,002206
湘佳股份,002982
彩虹集团,003023
彩蝶实业,603073
冠龙节能,301151
泸天化,000912
安车检测,300572
三旺通信,688618
动力新科,600841
宏德股份,301163
科拓生物,300858
海看股份,301262
合兴股份,605005
出版传媒,601999
绿盟科技,300369
科林电气,603050
瑞茂通,600180
华银电力,600744
纳尔股份,002825
浙江恒威,301222
强邦新材,001279
杭州园林,300649
绿通科技,301322
沪宁股份,300669
无锡振华,605319
常润股份,603201
青山纸业,600103
四川美丰,000731
海程邦达,603836
蜀道装备,300540
安德利,605198
华特气体,688268
瑞斯康达,603803
爱普股份,603020
光格科技,688450
诺 普 信,002215
跃岭股份,002725
中坚科技,002779
华纺股份,600448
睿昂基因,688217
科汇股份,688681
双环科技,000707
龙净环保,600388
菲菱科思,301191
XD天元智,603273
云南旅游,002059
方正电机,002196
易点天下,301171
云南能投,002053
黑猫股份,002068
联盛化学,301212
中源家居,603709
涛涛车业,301345
钧崴电子,301458
蒙泰高新,300876
金科环境,688466
利仁科技,001259
味知香,605089
万达电影,002739
鼎阳科技,688112
工大科雅,301197
赛伦生物,688163
苏豪弘业,600128
汉桑科技,301491
中熔电气,301031
联明股份,603006
香溢融通,600830
实达集团,600734
仙鹤股份,603733
百联股份,600827
内蒙新华,603230
文投控股,600715
丽江股份,002033
世龙实业,002748
恒林股份,603661
三夫户外,002780
欧莱新材,688530
百大集团,600865
矩子科技,300802
永利股份,300230
路维光电,688401
东湖高新,600133
麒盛科技,603610
泽璟制药-U,688266
众信旅游,002707
长青集团,002616
鸿路钢构,002541
聚力文化,002247
海峡环保,603817
伊戈尔,002922
奥联电子,300585
中化国际,600500
建研设计,301167
捷捷微电,300623
华兴源创,688001
三花智控,002050
海天股份,603759
金鸿顺,603922
华统股份,002840
源杰科技,688498
双箭股份,002381
瑞迪智驱,301596
豪森智能,688529
四方新材,605122
欣灵电气,301388
海容冷链,603187
沃格光电,603773
富春染织,605189
民和股份,002234
国泰环保,301203
豪江智能,301320
长青股份,002391
通程控股,000419
精工钢构,600496
金运激光,300220
巨轮智能,002031
吉华集团,603980
金利华电,300069
江苏北人,688218
廊坊发展,600149
海目星,688559
浙江众成,002522
山外山,688410
芯海科技,688595
凌玮科技,301373
同飞股份,300990
神力股份,603819
科泰电源,300153
维业股份,300621
贝斯美,300796
汉威科技,300007
达利凯普,301566
润阳科技,300920
雅克科技,002409
霍普股份,301024
同益中,688722
三羊马,001317
丰林集团,601996
华润江中,600750
金健米业,600127
平安电工,001359
厦门象屿,600057
百合股份,603102
中公高科,603860
安正时尚,603839
立华股份,300761
胜通能源,001331
鼎龙股份,300054
京投发展,600683
中材节能,603126
国力电子,688103
天富能源,600509
中天服务,002188
迪威尔,688377
汇洁股份,002763
同益股份,300538
炜冈科技,001256
锦江酒店,600754
上海沿浦,605128
竞业达,003005
亚通精工,603190
文科股份,002775
鼎龙科技,603004
南京化纤,600889
苏州龙杰,603332
新锐股份,688257
瑞纳智能,301129
洁美科技,002859
珍宝岛,603567
东华科技,002140
六国化工,600470
坤泰股份,001260
安乃达,603350
捷安高科,300845
迈得医疗,688310
长源东谷,603950
三特索道,002159
雄韬股份,002733
悦心健康,002162
中英科技,300936
燕塘乳业,002732
咸亨国际,605056
昭衍新药,603127
兴欣新材,001358
醋化股份,603968
欣贺股份,003016
国光连锁,605188
首旅酒店,600258
航天动力,600343
维尔利,300190
银禧科技,300221
力合微,688589
交大思诺,300851
通用电梯,300931
森鹰窗业,301227
建发合诚,603909
博深股份,002282
大千生态,603955
友讯达,300514
华特达因,000915
渤海股份,000605
宏华数科,688789
亚香股份,301220
中材科技,002080
万讯自控,300112
劲旅环境,001230
华蓝集团,301027
天舟文化,300148
长源电力,000966
恒尚节能,603137
万控智造,603070
东贝集团,601956
维峰电子,301328
圣泉集团,605589
新五丰,600975
金钟股份,301133
龙星科技,002442
西麦食品,002956
本立科技,301065
珠城科技,301280
凯尔达,688255
创益通,300991
云涌科技,688060
胜蓝股份,300843
博迁新材,605376
智信精密,301512
星辉环材,300834
海锅股份,301063
长川科技,300604
科捷智能,688455
箭牌家居,001322
恒盛能源,605580
华安鑫创,300928
中达安,300635
康力电梯,002367
杭州高新,300478
南亚新材,688519
春光科技,603657
盛泰集团,605138
龙利得,300883
嘉戎技术,301148
黄山胶囊,002817
盘古智能,301456
全新好,000007
申联生物,688098
百邦科技,300736
锦盛新材,300849
中科电气,300035
菱电电控,688667
达仁堂,600329
利民股份,002734
金奥博,002917
小方制药,603207
湖南海利,600731
锦和商管,603682
南京医药,600713
浙江美大,002677
顺发恒能,000631
思进智能,003025
京华激光,603607
泰瑞机器,603289
先锋精科,688605
宁波富达,600724
普莱得,301353
温州宏丰,300283
百胜智能,301083
浙江华远,301535
信隆健康,002105
宁波色母,301019
雪祺电气,001387
锡装股份,001332
锋尚文化,300860
五方光电,002962
莱宝高科,002106
明新旭腾,605068
瑞凌股份,300154
晶升股份,688478
鲁阳节能,002088
华光环能,600475
海能实业,300787
昊创瑞通,301668
三友联众,300932
达刚控股,300103
山东章鼓,002598
凯伦股份,300715
华康股份,605077
强瑞技术,301128
华茂股份,000850
冠豪高新,600433
兴瑞科技,002937
中路股份,600818
远翔新材,301300
瑞尔特,002790
亚康股份,301085
浙江正特,001238
浪莎股份,600137
齐峰新材,002521
德联集团,002666
弘亚数控,002833
梦百合,603313
中马传动,603767
海伦钢琴,300329
天迈科技,300807
信音电子,301329
常青科技,603125
中嘉博创,000889
华正新材,603186
东宏股份,603856
京能热力,002893
智立方,301312
力源科技,688565
中大力德,002896
宁波联合,600051
技源集团,603262
国机通用,600444
环球印务,002799
圣达生物,603079
金牛化工,600722
煜邦电力,688597
微电生理,688351
兴通股份,603209
鼎熔岩,301028
甬矽电子,688362
江盐集团,601065
智迪科技,301503
狄耐克,300884
宇新股份,002986
和顺科技,301237
中石科技,300684
中衡设计,603017
西力科技,688616
浩物股份,000757
山东赫达,002810
渤海轮渡,603167
航天工程,603698
金种子酒,600199
辰奕智能,301578
科隆股份,300405
快意电梯,002774
中创物流,603967
隧道股份,600820
亿利达,002686
长华集团,605018
宏鑫科技,301539
雅运股份,603790
信凯科技,001335
日久光电,003015
京城股份,600860
中材国际,600970
天府文旅,000558
海辰药业,300584
百洋股份,002696
中国神华,601088
新日股份,603787
热威股份,603075
同宇新材,301630
华翔股份,603112
永清环保,300187
柯力传感,603662
国光电气,688776
川网传媒,300987
家联科技,301193
金陵体育,300651
皓宸医疗,002622
致欧科技,301376
利元亨,688499
川仪股份,603100
卧龙电驱,600580
苏利股份,603585
瑞玛精密,002976
奥比中光-UW,688322
华策影视,300133
长荣股份,300195
聚石化学,688669
三鑫医疗,300453
确成股份,605183
我乐家居,603326
赛微微电,688325
常青股份,603768
永吉股份,603058
恒通股份,603223
华源控股,002787
吴通控股,300292
沪光股份,605333
飞马国际,002210
新天药业,002873
粤海饲料,001313
卓然股份,688121
众鑫股份,603091
众捷汽车,301560
开滦股份,600997
新天地,301277
晨丰科技,603685
博菲电气,001255
宝光股份,600379
金龙机电,300032
万德斯,688178
鑫宏业,301310
新宁物流,300013
麦趣尔,002719
倍轻松,688793
长江电力,600900
艾为电子,688798
骏亚科技,603386
中岩大地,003001
海晨股份,300873
华神科技,000790
麦加芯彩,603062
海泰新光,688677
凯瑞德,002072
热景生物,688068
青鸟消防,002960
绿茵生态,002887
金煤科技,600844
冀东装备,000856
北自科技,603082
概伦电子,688206
宿迁联盛,603065
晶华微,688130
兴蓉环境,000598
星源材质,300568
博众精工,688097
康众医疗,688607
创元科技,000551
爱慕股份,603511
科力装备,301552
苏盐井神,603299
湖南投资,000548
祖名股份,003030
科思科技,688788
德尔玛,301332
国投中鲁,600962
扬农化工,600486
凯中精密,002823
西昌电力,600505
迦南科技,300412
物产金轮,002722
协昌科技,301418
银座股份,600858
上海雅仕,603329
中电环保,300172
畅联股份,603648
王力安防,605268
沃顿科技,000920
可靠股份,301009
顶固集创,300749
金徽酒,603919
海光信息,688041
超研股份,301602
华泰股份,600308
东利机械,301298
朗迪集团,603726
顺灏股份,002565
超讯通信,603322
中国石油,601857
蠡湖股份,300694
如通股份,603036
国盛智科,688558
新赛股份,600540
聚灿光电,300708
立新能源,001258
奥雅股份,300949
同星科技,301252
智能自控,002877
碧兴物联,688671
大族数控,301200
力源信息,300184
德龙激光,688170
韶能股份,000601
龙图光罩,688721
天臣医疗,688013
金三江,301059
东百集团,600693
凯发电气,300407
金埔园林,301098
莱美药业,300006
湘邮科技,600476
元道通信,301139
中远通,301516
山东海化,000822
法尔胜,000890
电魂网络,603258
德艺文创,300640
杭氧股份,002430
鲁 泰Ａ,000726
南模生物,688265
宝钢包装,601968
金丹科技,300829
强一股份,688809
万邦德,002082
方正科技,600601
南京聚隆,300644
迪森股份,300335
领湃科技,300530
中天精装,002989
盛天网络,300494
中润光学,688307
元利科技,603217
德福科技,301511
久之洋,300516
高新发展,000628
胜科纳米,688757
海汽集团,603069
坚朗五金,002791
辉煌科技,002296
大元泵业,603757
远方信息,300306
播恩集团,001366
正川股份,603976
通富微电,002156
亚联发展,002316
百隆东方,601339
申通地铁,600834
双飞集团,300817
广弘控股,000529
杭州柯林,688611
赛维时代,301381
万邦医药,301520
西山科技,688576
河化股份,000953
华天酒店,000428
佳隆股份,002495
江苏雷利,300660
郑州煤电,600121
三达膜,688101
新经典,603096
明星电力,600101
宏英智能,001266
达瑞电子,300976
富特科技,301607
海波重科,300517
信捷电气,603416
音飞储存,603066
荣盛石化,002493
万得凯,301309
远程股份,002692
森马服饰,002563
屹通新材,300930
方大特钢,600507
仙坛股份,002746
新澳股份,603889
岱美股份,603730
康达新材,002669
中国石化,600028
山高环能,000803
东方材料,603110
兴业科技,002674
新光药业,300519
金百泽,301041
人民网,603000
大连热电,600719
迈普医学,301033
和远气体,002971
伟星股份,002003
中晟高科,002778
宏昌科技,301008
秦川物联,688528
福建高速,600033
共同药业,300966
联赢激光,688518
华智数媒,300426
浩欧博,688656
尚太科技,001301
宁波高发,603788
纵横通信,603602
中科金财,002657
科大国创,300520
科信技术,300565
卓锦股份,688701
回天新材,300041
蔚蓝生物,603739
天地数码,300743
华纬科技,001380
天邑股份,300504
黔源电力,002039
润丰股份,301035
亚宝药业,600351
迈赫股份,301199
旷达科技,002516
赣能股份,000899
捷佳伟创,300724
长电科技,600584
华西股份,000936
久祺股份,300994
苏豪时尚,600287
联德股份,605060
峨眉山Ａ,000888
今飞凯达,002863
厦门国贸,600755
泰坦股份,003036
中国电信,601728
戴维医疗,300314
华盛昌,002980
扬帆新材,300637
兆丰股份,300695
陕西能源,001286
宏柏新材,605366
广州酒家,603043
米奥会展,300795
数码视讯,300079
哈铁科技,688459
托普云农,301556
威奥股份,605001
长盛轴承,300718
扬州金泉,603307
蒙草生态,300355
华宝股份,300741
节能环境,300140
康尼机电,603111
天味食品,603317
利群股份,601366
新柴股份,301032
科安达,002972
比依股份,603215
英 力 特,000635
和泰机电,001225
海鸥住工,002084
锐明技术,002970
华生科技,605180
集友股份,603429
杭州热电,605011
魅视科技,001229
征和工业,003033
祥龙电业,600769
顺控发展,003039
鲁银投资,600784
新亚强,603155
莲花控股,600186
雅创电子,301099
嘉麟杰,002486
永达股份,001239
博实结,301608
佳士科技,300193
中欣氟材,002915
福莱蒽特,605566
同力天启,605286
瑞迈特,301367
山西焦煤,000983
金时科技,002951
日月明,300906
永兴股份,601033
峰璟股份,002662
长青科技,001324
雄塑科技,300599
茂硕电源,002660
皓元医药,688131
武汉控股,600168
赛诺医疗,688108
春兰股份,600854
太阳电缆,002300
博科测试,301598
克明食品,002661
黑芝麻,000716
芯导科技,688230
瀚川智能,688022
华域汽车,600741
岳阳兴长,000819
洪都航空,600316
曙光股份,600303
沪农商行,601825
泰凌微,688591
大富科技,300134
路畅科技,002813
激智科技,300566
牧高笛,603908
海伦哲,300201
亚普股份,603013
海信视像,600060
龙溪股份,600592
通达股份,002560
清越科技,688496
百川能源,600681
德赛电池,000049
丽岛新材,603937
裕兴股份,300305
天振股份,301356
通光线缆,300265
建投能源,000600
红蜻蜓,603116
国际复材,301526
国检集团,603060
南宁百货,600712
国盛证券,002670
东方创业,600278
亚华电子,301337
力鼎光电,605118
博睿数据,688229
佛慈制药,002644
维力医疗,603309
圣邦股份,300661
欧克科技,001223
乐歌股份,300729
益诺思,688710
爱婴室,603214
德迈仕,301007
梦洁股份,002397
卫信康,603676
金自天正,600560
因赛集团,300781
森林包装,605500
综艺股份,600770
中科信息,300678
钜泉科技,688391
镇海股份,603637
雷尔伟,301016
三柏硕,001300
祥和实业,603500
洪兴股份,001209
泰达股份,000652
康平科技,300907
炬芯科技,688049
奥泰生物,688606
三峡水利,600116
森源电气,002358
汇得科技,603192
会通股份,688219
XD物产环,603071
浙江力诺,300838
振邦智能,003028
睿能科技,603933
羚锐制药,600285
祥明智能,301226
盛航股份,001205
中光防雷,300414
百利科技,603959
宏辉果蔬,603336
沪电股份,002463
金达莱,688057
亚联机械,001395
益盛药业,002566
仟源医药,300254
泰永长征,002927
天箭科技,002977
中农立华,603970
清溢光电,688138
上海汽配,603107
劲拓股份,300400
司太立,603520
千味央厨,001215
江南水务,601199
金陵饭店,601007
海南发展,002163
宝胜股份,600973
中储股份,600787
嘉必优,688089
中研股份,688716
东望时代,600052
桂冠电力,600236
